Legal Entity Domain: NIP
Legal Entity Domain: NIP | Project Code: 1 OH - DFSA
Legal Entity Domain: NIP | Project Code: Opaline Tornedal Gorsehill Wind
Legal Entity Domain: NIP | Project Code: REP Platform
Legal Entity Domain: NIP | Project Code: Peridot Biogas
Legal Entity Domain: NIP | Project Code: Pyritehill
Legal Entity Domain: NIP | Project Code: Quartzite
Legal Entity Domain: NIP | Project Code: Rhodolite
Legal Entity Domain: NIP | Project Code: SARDONYX
Legal Entity Domain: NIP | Project Code: Ravenscombe Solar
Legal Entity Domain: NIP | Project Code: SERPENTINE
Legal Entity Domain: NIP | Project Code: SLATEFIELD
Legal Entity Domain: NIP | Project Code: Spinelford
Legal Entity Domain: NIP | Project Code: Topazmoor Kittiwake
Legal Entity Domain: NIP | Project Code: Tourmaline Thetis
Legal Entity Domain: NIP | Project Code: Tourmaline Altair
Legal Entity Domain: NIP | Project Code: Tourmaline Dubhe
Legal Entity Domain: NIP | Project Code: Zirconvale
Legal Entity Domain: NIP | Project Code: Austerwind Alpheratz
Legal Entity Domain: NIP | Project Code: CLOUDBREAK
Legal Entity Domain: NIP | Project Code: DOWNDRAFT
Legal Entity Domain: NIP | Project Code: Firnwind Cravenhill
Legal Entity Domain: NIP | Project Code: Firnwind Cravenhill Phase 3 Expansion
Legal Entity Domain: NIP | Project Code: GALEFORCE
Legal Entity Domain: NIP | Project Code: Hailstone Framework NI V
Legal Entity Domain: NIP | Project Code: MISTRALPOINT
Legal Entity Domain: NIP | Project Code: Monsoonvale
Legal Entity Domain: NIP | Project Code: Nimbusfield
Legal Entity Domain: NIP | Project Code: Northgale II
Legal Entity Domain: NIP | Project Code: SEABREEZE
Legal Entity Domain: NIP | Project Code: SIROCCOHILL
Legal Entity Domain: NIP | Project Code: SNOWDRIFT
Legal Entity Domain: NIP | Project Code: Squallmoor Kalvik
Legal Entity Domain: NIP | Project Code: Stratusfield
Legal Entity Domain: NIP | Project Code: Tempestvale
Legal Entity Domain: NIP | Project Code: Thermalpoint
Legal Entity Domain: NIP | Project Code: SOT
Legal Entity Domain: NIP | Project Code: Tradewind Asia Mizar
Legal Entity Domain: NIP | Project Code: VORTEXMOOR
Legal Entity Domain: NIP | Project Code: Zondavale Offshore
Legal Entity Domain: NIP | Project Code: Bilberry
Legal Entity Domain: NIP | Project Code: Blackcurrant
Legal Entity Domain: NIP | Project Code: CLOUDBERRY
Legal Entity Domain: NIP | Project Code: Cloudberry North
Legal Entity Domain: NIP | Project Code: Comfrey Langholm
Legal Entity Domain: NIP | Project Code: Cowslip
Legal Entity Domain: NIP | Project Code: FOXGLOVE
Legal Entity Domain: NIP | Project Code: Heatherfield
Legal Entity Domain: NIP | Project Code: Juniperhill
Legal Entity Domain: NIP | Project Code: Supply Chain Environment NI V
Legal Entity Domain: NIP | Project Code: Supply Chain Environment NMF I
Legal Entity Domain: NIP | Project Code: Lavendermoor
Legal Entity Domain: NIP | Project Code: Marramfield
Legal Entity Domain: NIP | Project Code: Sweden SPV 1
Legal Entity Domain: NIP | Project Code: Sweden SPV 2
Legal Entity Domain: NIP | Project Code: Sweden SPV 3
Legal Entity Domain: NIP | Project Code: Sweden SPV 4
Legal Entity Domain: NIP | Project Code: Sweden SPV 5
Legal Entity Domain: NIP | Project Code: Sweden SPV 6
Legal Entity Domain: NIP | Project Code: Sydney
Legal Entity Domain: NIP | Project Code: Mulberryhill
Legal Entity Domain: NIP | Project Code: Rowanvale Energy
Legal Entity Domain: NIP | Project Code: Taiwan Bess
Legal Entity Domain: NIP | Project Code: TAIWAN NI V MIZAR
Legal Entity Domain: NIP | Project Code: Taiwan New Sites
Legal Entity Domain: NIP | Project Code: Taiwan Solar
Legal Entity Domain: NIP | Project Code: Speedwell
Legal Entity Domain: NIP | Project Code: Te Malachite
Legal Entity Domain: NIP | Project Code: Tansymoor
Legal Entity Domain: NIP | Project Code: THISTLEBANK (PHASE II)
Legal Entity Domain: NIP | Project Code: Thistlebank PtX
Legal Entity Domain: NIP | Project Code: YARROWMOOR
Legal Entity Domain: NIP | Project Code: Yewtreehill Wind Portfolio
Legal Entity Domain: NIP | Project Code: BINDWEED
Legal Entity Domain: NIP | Project Code: BRAMBLEHILL
Legal Entity Domain: NIP | Project Code: Campion
Legal Entity Domain: NIP | Project Code: CELANDINE WEST
Legal Entity Domain: NIP | Project Code: CHERVILVALE  BIOGAS
Legal Entity Domain: NIP | Project Code: Chervilvale Biogas
Legal Entity Domain: NIP | Project Code: Eyebright Nightjar
Legal Entity Domain: NIP | Project Code: Knapweed
Legal Entity Domain: NIP | Project Code: UK Public Affairs
Legal Entity Domain: NIP | Project Code: Meadowfoam I-III
Legal Entity Domain: NIP | Project Code: Pennyroyal II
Legal Entity Domain: NIP | Project Code: Upper Thalia Hydro
Legal Entity Domain: NIP | Project Code: Ragwort
Legal Entity Domain: NIP | Project Code: US Battery Storage Portfolio - Ph1
Legal Entity Domain: NIP | Project Code: US Battery Storage Portfolio – Phase II
Legal Entity Domain: NIP | Project Code: US Data Centers
Legal Entity Domain: NIP | Project Code: US Mizar
Legal Entity Domain: NIP | Project Code: Sundewvale
Legal Entity Domain: NIP | Project Code: Valerian Investment Platform
Legal Entity Domain: NIP | Project Code: Aeroven CoC NI V
Legal Entity Domain: NIP | Project Code: Aeroven CoC NMF I
Legal Entity Domain: NIP | Project Code: VNS (Vietnam New Sites)
Legal Entity Domain: NIP | Project Code: ASHWICK GREEN METALS
Legal Entity Domain: NIP | Project Code: Bexmoor
Legal Entity Domain: NIP | Project Code: Cardenhall
Legal Entity Domain: NIP | Project Code: Charnwood
Legal Entity Domain: NIP | Project Code: DEVEREL
Legal Entity Domain: NIP | Project Code: White Wryneck
Legal Entity Domain: NIP | Project Code: White Andesite
Legal Entity Domain: NIP | Project Code: Elmsworth Wind Farm
Legal Entity Domain: NIP | Project Code: Fallowfield
Legal Entity Domain: NIP | Project Code: Haverleigh
Legal Entity Domain: NIP | Project Code: JARROWDALE
Legal Entity Domain: NIP | Project Code: KELSTERN
Legal Entity Domain: NIP | Project Code: Kirtlington Wind Farm
Legal Entity Domain: NIP | Project Code: MARCHWOOD
